Country,Total,Ranking,Year
NORWAY,37,1,2022
ROC,32,2,2022
GERMANY,27,3,2022
CANADA,26,4,2022
USA,24,5,2022
SWEDEN,18,6,2022
AUSTRIA,18,6,2022
JAPAN,18,6,2022
NETHERLANDS,17,7,2022
ITALY,17,7,2022
NORWAY,35,1,2018
GERMANY,31,2,2018
CANADA,29,3,2018
USA,23,4,2018
NETHERLANDS,20,5,2018
ROC,17,6,2018
SWITZERLAND,15,7,2018
FRANCE,15,7,2018
SOUTH KOREA,14,8,2018
SWEDEN,14,8,2018
ROC,30,1,2014
USA,28,2,2014
NORWAY,26,3,2014
NETHERLANDS,24,5,2014
GERMANY,19,6,2014
AUSTRIA,17,7,2014
FRANCE,15,8,2014
SWEDEN,15,8,2014
SWITZERLAND,11,9,2014
USA,37,1,2010
GERMANY,30,2,2010
CANADA,26,3,2010
NORWAY,23,4,2010
AUSTRIA,16,5,2010
ROC,15,6,2010
SOUTH KOREA,14,7,2010
CHINA,11,8,2010
SWEDEN,11,8,2010
FRANCE,11,8,2010
GERMANY,29,1,2006
USA,25,2,2006
CANADA,24,3,2006
AUSTRIA,23,4,2006
ROC,22,5,2006
SWEDEN,14,6,2006
SWITZERLAND,14,6,2006
SOUTH KOREA,11,7,2006
ITALY,11,7,2006
FRANCE,9,8,2006
NETHERLANDS,9,8,2006
GERMANY,36,1,2002
USA,34,2,2002
NORWAY,25,3,2002
CANADA,17,4,2002
AUSTRIA,17,4,2002
ROC,13,5,2002
ITALY,13,5,2002
FRANCE,11,6,2002
NETHERLANDS,8,7,2002
FINLAND,7,8,2002
GERMANY,29,1,1998
NORWAY,25,2,1998
ROC,18,3,1998
AUSTRIA,17,4,1998
CANADA,15,5,1998
USA,13,6,1998
NETHERLANDS,11,8,1998
JAPAN,10,9,1998
ITALY,10,9,1998
FINLAND,12,7,1998
CANADA,25,4,2014
