Country,Gender,Total,Year
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,female,,2022
USA,male,,2022
USA,male,,2022
USA,male,,2022
USA,male,,2022
USA,male,,2022
USA,male,,2022
USA,male,,2022
USA,male,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
USA,both,,2022
SWITZERLAND,female,,2022
SWITZERLAND,female,,2022
SWITZERLAND,female,,2022
SWITZERLAND,female,,2022
SWITZERLAND,female,,2022
SWITZERLAND,female,,2022
SWITZERLAND,female,,2022
SWITZERLAND,female,,2022
SWITZERLAND,female,,2022
SWITZERLAND,male,,2022
SWITZERLAND,male,,2022
SWITZERLAND,male,,2022
SWITZERLAND,male,,2022
SWITZERLAND,male,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
SWITZERLAND,both,,2022
ROC,female,,2022
ROC,female,,2022
ROC,female,,2022
ROC,female,,2022
ROC,female,,2022
ROC,female,,2022
ROC,female,,2022
ROC,female,,2022
ROC,female,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,male,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
ROC,both,,2022
NORWAY,female,,2022
NORWAY,female,,2022
NORWAY,female,,2022
NORWAY,female,,2022
NORWAY,female,,2022
NORWAY,female,,2022
NORWAY,female,,2022
NORWAY,female,,2022
NORWAY,female,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,male,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NORWAY,both,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,female,,2022
NETHERLANDS,male,,2022
NETHERLANDS,male,,2022
NETHERLANDS,male,,2022
NETHERLANDS,male,,2022
NETHERLANDS,male,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
NETHERLANDS,both,,2022
GERMANY,female,,2022
GERMANY,female,,2022
GERMANY,female,,2022
GERMANY,female,,2022
GERMANY,female,,2022
GERMANY,female,,2022
GERMANY,female,,2022
GERMANY,female,,2022
GERMANY,female,,2022
GERMANY,female,,2022
GERMANY,male,,2022
GERMANY,male,,2022
GERMANY,male,,2022
GERMANY,male,,2022
GERMANY,male,,2022
GERMANY,male,,2022
GERMANY,male,,2022
GERMANY,male,,2022
GERMANY,male,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
GERMANY,both,,2022
FRANCE,female,,2022
FRANCE,female,,2022
FRANCE,female,,2022
FRANCE,female,,2022
FRANCE,male,,2022
FRANCE,male,,2022
FRANCE,male,,2022
FRANCE,male,,2022
FRANCE,male,,2022
FRANCE,male,,2022
FRANCE,male,,2022
FRANCE,male,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
FRANCE,both,,2022
CHINA,female,,2022
CHINA,female,,2022
CHINA,female,,2022
CHINA,female,,2022
CHINA,female,,2022
CHINA,male,,2022
CHINA,male,,2022
CHINA,male,,2022
CHINA,male,,2022
CHINA,male,,2022
CHINA,male,,2022
CHINA,male,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
CHINA,both,,2022
AUSTRIA,female,,2022
AUSTRIA,female,,2022
AUSTRIA,female,,2022
AUSTRIA,female,,2022
AUSTRIA,female,,2022
AUSTRIA,male,,2022
AUSTRIA,male,,2022
AUSTRIA,male,,2022
AUSTRIA,male,,2022
AUSTRIA,male,,2022
AUSTRIA,male,,2022
AUSTRIA,male,,2022
AUSTRIA,male,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
AUSTRIA,both,,2022
