Country,Gender,Total,Ranking,Year
NORWAY,female,1,1,2022
NORWAY,female,1,1,2022
NORWAY,female,1,1,2022
NORWAY,female,1,1,2022
NORWAY,female,1,1,2022
NORWAY,female,1,1,2022
NORWAY,female,1,1,2022
NORWAY,female,1,1,2022
NORWAY,female,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
NORWAY,male,1,1,2022
ROC,female,1,2,2022
ROC,female,1,2,2022
ROC,female,1,2,2022
ROC,female,1,2,2022
ROC,female,1,2,2022
ROC,female,1,2,2022
ROC,female,1,2,2022
ROC,female,1,2,2022
ROC,female,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
ROC,male,1,2,2022
GERMANY,female,1,3,2022
GERMANY,female,1,3,2022
GERMANY,female,1,3,2022
GERMANY,female,1,3,2022
GERMANY,female,1,3,2022
GERMANY,female,1,3,2022
GERMANY,female,1,3,2022
GERMANY,female,1,3,2022
GERMANY,female,1,3,2022
GERMANY,female,1,3,2022
GERMANY,male,1,3,2022
GERMANY,male,1,3,2022
GERMANY,male,1,3,2022
GERMANY,male,1,3,2022
GERMANY,male,1,3,2022
GERMANY,male,1,3,2022
GERMANY,male,1,3,2022
GERMANY,male,1,3,2022
GERMANY,male,1,3,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,female,1,5,2022
USA,male,1,5,2022
USA,male,1,5,2022
USA,male,1,5,2022
USA,male,1,5,2022
USA,male,1,5,2022
USA,male,1,5,2022
USA,male,1,5,2022
USA,male,1,5,2022
SWEDEN,female,1,6,2022
SWEDEN,female,1,6,2022
SWEDEN,female,1,6,2022
SWEDEN,female,1,6,2022
SWEDEN,female,1,6,2022
SWEDEN,female,1,6,2022
SWEDEN,male,1,6,2022
SWEDEN,male,1,6,2022
SWEDEN,male,1,6,2022
SWEDEN,male,1,6,2022
SWEDEN,male,1,6,2022
SWEDEN,male,1,6,2022
SWEDEN,male,1,6,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,female,1,7,2022
NETHERLANDS,male,1,7,2022
NETHERLANDS,male,1,7,2022
NETHERLANDS,male,1,7,2022
NETHERLANDS,male,1,7,2022
NETHERLANDS,male,1,7,2022
AUSTRIA,female,1,6,2022
AUSTRIA,female,1,6,2022
AUSTRIA,female,1,6,2022
AUSTRIA,female,1,6,2022
AUSTRIA,female,1,6,2022
AUSTRIA,male,1,6,2022
AUSTRIA,male,1,6,2022
AUSTRIA,male,1,6,2022
AUSTRIA,male,1,6,2022
AUSTRIA,male,1,6,2022
AUSTRIA,male,1,6,2022
AUSTRIA,male,1,6,2022
AUSTRIA,male,1,6,2022
ITALY,female,1,7,
ITALY,female,1,7,
ITALY,female,1,7,
ITALY,female,1,7,
ITALY,female,1,7,
ITALY,female,1,7,
ITALY,female,1,7,
ITALY,female,1,7,
ITALY,female,1,7,
ITALY,male,1,7,
ITALY,male,1,7,
ITALY,male,1,7,
ITALY,male,1,7,
ITALY,male,1,7,
JAPAN,female,1,6,
JAPAN,female,1,6,
JAPAN,female,1,6,
JAPAN,female,1,6,
JAPAN,female,1,6,
JAPAN,female,1,6,
JAPAN,female,1,6,
JAPAN,female,1,6,
JAPAN,male,1,6,
JAPAN,male,1,6,
JAPAN,male,1,6,
JAPAN,male,1,6,
JAPAN,male,1,6,
JAPAN,male,1,6,
JAPAN,male,1,6,
JAPAN,male,1,6,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,female,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
CANADA,male,1,4,
