Country,Order,Total,Ranking,Year
NORWAY,1,37,1,2022
ROC,2,32,2,2022
GERMANY,3,27,3,2022
CANADA,4,26,4,2022
USA,5,24,5,2022
SWEDEN,6,18,6,2022
AUSTRIA,7,18,6,2022
JAPAN,8,18,6,2022
NETHERLANDS,9,17,7,2022
ITALY,10,17,7,2022
NORWAY,11,35,1,2018
GERMANY,12,31,2,2018
CANADA,13,29,3,2018
USA,14,23,4,2018
NETHERLANDS,15,20,5,2018
ROC,16,17,6,2018
SWITZERLAND,17,15,7,2018
FRANCE,18,15,7,2018
SOUTH KOREA,19,14,8,2018
SWEDEN,20,14,8,2018
ROC,21,30,1,2014
USA,22,28,2,2014
NORWAY,23,26,3,2014
CANADA,24,25,4,2014
NETHERLANDS,25,24,5,2014
GERMANY,26,19,6,2014
AUSTRIA,27,17,7,2014
FRANCE,28,15,8,2014
SWEDEN,29,15,8,2014
SWITZERLAND,30,11,9,2014
USA,31,37,1,2010
GERMANY,32,30,2,2010
CANADA,33,26,3,2010
NORWAY,34,23,4,2010
AUSTRIA,35,16,5,2010
ROC,36,15,6,2010
SOUTH KOREA,37,14,7,2010
CHINA,38,11,8,2010
SWEDEN,39,11,8,2010
FRANCE,40,11,8,2010
GERMANY,41,29,1,2006
USA,42,25,2,2006
CANADA,43,24,3,2006
AUSTRIA,44,23,4,2006
ROC,45,22,5,2006
SWEDEN,46,14,6,2006
SWITZERLAND,47,14,6,2006
SOUTH KOREA,48,11,7,2006
ITALY,49,11,7,2006
FRANCE,50,9,8,2006
NETHERLANDS,51,9,8,2006
GERMANY,52,36,1,2002
USA,53,34,2,2002
NORWAY,54,25,3,2002
CANADA,55,17,4,2002
AUSTRIA,56,17,4,2002
ROC,57,13,5,2002
ITALY,58,13,5,2002
FRANCE,59,11,6,2002
NETHERLANDS,60,8,7,2002
FINLAND,61,7,8,2002
GERMANY,62,29,1,1998
NORWAY,63,25,2,1998
ROC,64,18,3,1998
AUSTRIA,65,17,4,1998
CANADA,66,15,5,1998
USA,67,13,6,1998
FINLAND,68,12,7,1998
NETHERLANDS,69,11,8,1998
JAPAN,70,10,9,1998
ITALY,71,10,9,1998
